"","Date","Time","latin","Species","Weather","Transect","Count","Distance","Observer","Any.other.comments","team","loc","month"
"107","20/02/2017","11:12","Sciurus carolinensis","Grey squirrel","Overcast","T1",1,"10","Matt",NA,"tbt","lanc","feb"
"108","02/03/2017",NA,"Sciurus carolinensis","Grey squirrel","Sunny",NA,2,"3m","Samantha Purton",NA,"suc","swan","may"
"109","05/03/2017","11:10","Sciurus carolinensis","Grey squirrel","Light rain","5",1,"50","Isaac",NA,"uog","glou","mar"
"110","24/01/2017",NA,"Sciurus carolinensis","Grey squirrel","Cloudy","Transect 4",1,"1",NA,NA,"suc","swan","jan"
"111","21/02/2017","08:33","Sciurus carolinensis","Grey squirrel","Clear, dry, windy","3",1,"10","Rebecca",NA,"att","aber","feb"
"112","03/07/2017","10:30","Sciurus carolinensis","Grey squirrel","Partly cloudy","2",3,"25","Emily",NA,"tsu","surr","mar"
"113","24/01/2017",NA,"Sciurus carolinensis","Grey squirrel","Cloudy","Transect 1",1,"6",NA,NA,"suc","swan","jan"
"114","26/01/2017","12:45PM","Sciurus carolinensis","Grey squirrel","Dry, Mild","3",1,"25",NA,NA,"hba","hadl","jan"
"115","02/06/2017","12:30","Sciurus carolinensis","Grey squirrel","Cloudy","T2",4,"40","Emily, Zoe, Yuma",NA,"tsu","surr","feb"
"116","05/03/2017","11:10","Sciurus carolinensis","Grey squirrel","Light rain",NA,1,NA,"Isaac",NA,"uog","glou","may"
"117","22/02/2017","13:42","Sciurus carolinensis","Grey squirrel","Sunny, but wet","2",1,"5","SH",NA,"cwi","card","feb"
"118","08/02/2017","09:27","Sciurus carolinensis","Grey squirrel","Cloudy","3",1,"20","SH","In tree","cwi","card","feb"
"119","08/02/2017","09:00","Sciurus carolinensis","Grey squirrel","Cloudy","1",1,"5","SH",NA,"cwi","card","feb"
"120","22/02/2017","13:40","Sciurus carolinensis","Grey squirrel","Sunny, but wet","2",1,"15","SH","In tree","cwi","card","feb"
"121","22/02/2017","13:30","Sciurus carolinensis","Grey squirrel","Sunny, but wet","1",1,"10","SH",NA,"cwi","card","feb"
"122","06/02/2017","11:18","Sciurus carolinensis","Grey squirrel","Sunny (20% cloud coverage), 5?C","Mixed Woodland (500m)",4,"10m","Hannah",NA,"kpl","kent","may"
"123","06/02/2017","11:19","Sciurus carolinensis","Grey squirrel","Sunny (20% cloud coverage), 5?C","Mixed Woodland (500m)",1,"30","Sonia",NA,"kpl","kent","feb"
"124","13/02/2017","11:07","Sciurus carolinensis","Grey squirrel","Sunny (0% cloud coverage), 5?C","Mixed Woodland (500m)",2,"10m","Hannah",NA,"kpl","kent","may"
"125","30/01/2017","12:02","Sciurus carolinensis","Grey squirrel","Overcast (100% cloud cover), and damp ground conditions, 6?C","Mixed Woodland (500m)",1,"10","Sonia",NA,"kpl","kent","apr"
"126","13/02/2017","11:14","Sciurus carolinensis","Grey squirrel","Sunny (0% cloud coverage), 5?C","1",2,"10","Hannah",NA,"kpl","kent","mar"
"127","06/02/2017","11:22","Sciurus carolinensis","Grey squirrel","Sunny (20% cloud coverage), 5?C","1",1,"15","Sonia",NA,"kpl","kent","mar"
"128","30/01/2017","11:52","Sciurus carolinensis","Grey squirrel","Overcast (100% cloud cover), and damp ground conditions, 6?C","Mixed Woodland (500m)",1,"10m","Sonia",NA,"kpl","kent","may"
"129","06/02/2017","11:19","Sciurus carolinensis","Grey squirrel","Sunny (20% cloud coverage), 5?C","1",1,"30","Sonia",NA,"kpl","kent","mar"
"130","06/02/2017","11:24","Sciurus carolinensis","Grey squirrel","Sunny (20% cloud coverage), 5?C","Mixed Woodland (500m)",4,"10","Hannah",NA,"kpl","kent","feb"
"131","30/01/2017","12:02","Sciurus carolinensis","Grey squirrel","Overcast (100% cloud cover), and damp ground conditions, 6?C","1",1,"10","Sonia",NA,"kpl","kent","mar"
"132","06/02/2017","11:22","Sciurus carolinensis","Grey squirrel","Sunny (20% cloud coverage), 5?C","Mixed Woodland (500m)",1,"15","Sonia",NA,"kpl","kent","apr"
"133","06/02/2017","11:24","Sciurus carolinensis","Grey squirrel","Sunny (20% cloud coverage), 5?C","Mixed Woodland (500m)",4,"10","Hannah",NA,"kpl","kent","apr"
"134","13/02/2017","11:11","Sciurus carolinensis","Grey squirrel","Sunny (0% cloud coverage), 5?C","Mixed Woodland (500m)",2,"20","Sonia",NA,"kpl","kent","apr"
"135","30/01/2017","11:54","Sciurus carolinensis","Grey squirrel","Overcast (100% cloud cover), and damp ground conditions, 6?C","Mixed Woodland (500m)",2,"30","Hannah",NA,"kpl","kent","apr"
"136","06/02/2017","11:22","Sciurus carolinensis","Grey squirrel","Sunny (20% cloud coverage), 5?C","Mixed Woodland (500m)",1,"15","Sonia",NA,"kpl","kent","feb"
"137","06/02/2017","11:25","Sciurus carolinensis","Grey squirrel","Sunny (20% cloud coverage), 5?C","Mixed Woodland (500m)",1,"5","Hannah",NA,"kpl","kent","apr"
"138","06/02/2017","11:18","Sciurus carolinensis","Grey squirrel","Sunny (20% cloud coverage), 5?C","Mixed Woodland (500m)",1,"5m","Hannah",NA,"kpl","kent","may"
"139","06/02/2017","11:19","Sciurus carolinensis","Grey squirrel","Sunny (20% cloud coverage), 5?C","Mixed Woodland (500m)",1,"30","Sonia",NA,"kpl","kent","apr"
"140","06/02/2017","11:25","Sciurus carolinensis","Grey squirrel","Sunny (20% cloud coverage), 5?C","1",1,"5","Hannah",NA,"kpl","kent","mar"
"141","13/02/2017","11:14","Sciurus carolinensis","Grey squirrel","Sunny (0% cloud coverage), 5?C","Mixed Woodland (500m)",2,"10","Hannah",NA,"kpl","kent","feb"
"142","30/01/2017","11:52","Sciurus carolinensis","Grey squirrel","Overcast (100% cloud cover), and damp ground conditions, 6?C","Mixed Woodland (500m)",2,"30m","Hannah",NA,"kpl","kent","may"
"143","13/02/2017","11:07","Sciurus carolinensis","Grey squirrel","Sunny (0% cloud coverage), 5?C","Mixed Woodland (500m)",1,"40m","Sonia",NA,"kpl","kent","may"
"144","30/01/2017","12:02","Sciurus carolinensis","Grey squirrel","Overcast (100% cloud cover), and damp ground conditions, 6?C","Mixed Woodland (500m)",1,"10","Sonia",NA,"kpl","kent","feb"
"145","30/01/2017","11:54","Sciurus carolinensis","Grey squirrel","Overcast (100% cloud cover), and damp ground conditions, 6?C","Mixed Woodland (500m)",2,"30","Hannah",NA,"kpl","kent","feb"
"146","30/01/2017","11:54","Sciurus carolinensis","Grey squirrel","Overcast (100% cloud cover), and damp ground conditions, 6?C","1",2,"30","Hannah",NA,"kpl","kent","mar"
"147","06/02/2017","11:24","Sciurus carolinensis","Grey squirrel","Sunny (20% cloud coverage), 5?C","1",4,"10","Hannah",NA,"kpl","kent","mar"
"148","13/02/2017","11:07","Sciurus carolinensis","Grey squirrel","Sunny (0% cloud coverage), 5?C","Mixed Woodland (500m)",1,"40","Sonia",NA,"kpl","kent","feb"
"149","13/02/2017","11:11","Sciurus carolinensis","Grey squirrel","Sunny (0% cloud coverage), 5?C","1",2,"20","Sonia",NA,"kpl","kent","mar"
"150","06/02/2017","11:18","Sciurus carolinensis","Grey squirrel","Sunny (20% cloud coverage), 5?C","Mixed Woodland (500m)",1,"15m","Sonia",NA,"kpl","kent","may"
"151","06/02/2017","11:18","Sciurus carolinensis","Grey squirrel","Sunny (20% cloud coverage), 5?C","Mixed Woodland (500m)",1,"30m","Sonia",NA,"kpl","kent","may"
"152","13/02/2017","11:07","Sciurus carolinensis","Grey squirrel","Sunny (0% cloud coverage), 5?C","1",1,"40","Sonia",NA,"kpl","kent","mar"
"153","06/02/2017","11:25","Sciurus carolinensis","Grey squirrel","Sunny (20% cloud coverage), 5?C","Mixed Woodland (500m)",1,"5","Hannah",NA,"kpl","kent","feb"
"154","13/02/2017","11:07","Sciurus carolinensis","Grey squirrel","Sunny (0% cloud coverage), 5?C","Mixed Woodland (500m)",1,"40","Sonia",NA,"kpl","kent","apr"
"155","13/02/2017","11:14","Sciurus carolinensis","Grey squirrel","Sunny (0% cloud coverage), 5?C","Mixed Woodland (500m)",2,"10","Hannah",NA,"kpl","kent","apr"
"156","13/02/2017","11:07","Sciurus carolinensis","Grey squirrel","Sunny (0% cloud coverage), 5?C","Mixed Woodland (500m)",2,"20m","Sonia",NA,"kpl","kent","may"
"157","13/02/2017","11:11","Sciurus carolinensis","Grey squirrel","Sunny (0% cloud coverage), 5?C","Mixed Woodland (500m)",2,"20","Sonia",NA,"kpl","kent","feb"
"158","26/04/2017","9.30 pm","Erinaceus europaeus","Hedgehog","Overcast",NA,1,"3m","Ollie & Sean",NA,"rum","rum.","may"
"159","26/04/2017","9.30 pm","Erinaceus europaeus","Hedgehog","Overcast",NA,1,"3m","Ollie & Sean",NA,"rum","rum.","apr"
"160","01/06/2017","1pm","Erinaceus europaeus","Hedgehog","Sunny","5",1,"0.5m","Sean and Charlotte",NA,"rum","rum.","jun"
"161","11/06/2017","9pm","Erinaceus europaeus","Hedgehog","Raining","1",1,"0.5m","Sean",NA,"rum","rum.","jun"
"162","020/02/2017","3:33pm","Phasianus colchicus","Pheasant","Cloudy, windy ","T1",1,"30","Bethany",NA,"tma","hart","feb"
"163","02/02/2017","3:30pm","Phasianus colchicus","Pheasant","Cloudy, windy ","T1",2,"30","Bethany","Did see something else move couldn't work out if a squirrel or rabbit as moved away too quick","tma","hart","feb"
"164","16/02/2017","18:05","Vespertilionidae sp.","Bat (sp)","Clear/Mild","T5",1,"0","DW","Flying around overhead ","mdb","nott","feb"
"165","28-Feb","17:10","Oryctolagus cuniculus","Rabbit","Clear, sunny","5",8,"15","Ellie","Two kits","nbm","east","feb"
"166","28-Feb","17:10","Oryctolagus cuniculus","Rabbit","Clear, sunny","5",4,"30","Max",NA,"nbm","east","feb"
"167","20/01/2017","4:30pm","Oryctolagus cuniculus","Rabbit","Clear, dark","T2",1,"25",NA,NA,"tma","hart","jan"
"168","28-Feb","17:10","Oryctolagus cuniculus","Rabbit","Clear, sunny","5",5,"15","Max",NA,"nbm","east","feb"
"169","08/02/2017","13:25","Oryctolagus cuniculus","Rabbit","4C, Overcast.","2",1,"5","Lucy Mills",NA,"hba","hadl","feb"
"170","18/01/2017","3:00pm","Oryctolagus cuniculus","Rabbit","Sunny","T2",2,"10",NA,NA,"tma","hart","jan"
"171","28/01/2017","4:00pm","Oryctolagus cuniculus","Rabbit","Wet","T3",1,"25",NA,NA,"tma","hart","jan"
