"","Date","Time","latin","Species","Weather","Trap.number","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Supervisor","Any.other.comments","team","loc","month"
"70","20-Feb","08:20","Apodemus sylvaticus","Wood mouse","Mild, clear","24","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"71","22-Feb","09:05","Apodemus sylvaticus","Wood mouse","Cold, rainy","16","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"72","20-Feb","08:31","Apodemus sylvaticus","Wood mouse","Mild, clear","27","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"73","20-Feb","08:34","Apodemus sylvaticus","Wood mouse","Mild, clear","28","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recap; fur clipping","nbm","east","feb"
"74","09-Jan","08:41","Apodemus sylvaticus","Wood mouse","Cold, clear","24","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"75","20-Feb","08:40","Apodemus sylvaticus","Wood mouse","Mild, clear","33","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"76","20-Feb","08:44","Apodemus sylvaticus","Wood mouse","Mild, clear","34","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"77","09-Jan","08:56","Apodemus sylvaticus","Wood mouse","Cold, clear","29","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"78","03/03/2017","10:20","Apodemus sylvaticus","Wood mouse","Cloudy","2","NY410554","Woodland","Mixed","Moderate shrub layer","Jason","Davina Hill","Back of stems","tmo","cumb","mar"
"79","20-Feb","08:59","Apodemus sylvaticus","Wood mouse","Mild, clear","39","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"80","20-Feb","08:07","Apodemus sylvaticus","Wood mouse","Mild, clear","12","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recap; natural marking","nbm","east","feb"
"81","21-Feb","07:30","Apodemus sylvaticus","Wood mouse","Mild, clear","2","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"82","09-Jan","07:40","Apodemus sylvaticus","Wood mouse","Cold, clear","9","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"83","31-Jan","09:16","Apodemus sylvaticus","Wood mouse","Overcast, dry","38","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"84","21-Feb","08:04","Apodemus sylvaticus","Wood mouse","Mild, clear","10","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recap; natural marking","nbm","east","feb"
"85","21-Feb","08:12","Apodemus sylvaticus","Wood mouse","Mild, clear","16","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recap; natural marking","nbm","east","feb"
"86","09-Jan","09:00","Apodemus sylvaticus","Wood mouse","Cold, clear","30","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"87","21-Feb","08:20","Apodemus sylvaticus","Wood mouse","Mild, clear","22","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recap; fur clipping","nbm","east","feb"
