"","Date","Time","Weather","latin","Species","Count","Alive.Dead","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Any.other.comments","team","loc","month"
"61","24/02/2017","12:26","sunny","Lutra lutra","Otter","2","Alive","57.177199, -2.105908","Waterbody","river","slow running","Rebecca ",NA,"att","aber","feb"
"62","08/02/2017","14:45","SUN AND SHOWERS","Oryctolagus cuniculus","Rabbit","1","alive","SX8709458280","open land","wildlife area","mixed vegetation","laura roberts",NA,"sdc","sdev","feb"
"63",NA,NA,NA,"Oryctolagus cuniculus","Rabbit","1","alive","SX8708258308","human","suburban","garden","all team",NA,"sdc","sdev","mar"
"64","06/03/2017","12:00","Clear/Sunny","Oryctolagus cuniculus","Rabbit","3","alive","SX8719158363","human","suburban","Grazing Paddock","Laura Roberts",NA,"sdc","sdev","mar"
"65","08/02/2017","14:10","SUN AND SHOWERS","Oryctolagus cuniculus","Rabbit","1","alive","SX8734958609","human","suburban","carpark","all team","grazing on the verge of the carpark","sdc","sdev","feb"
"66",NA,NA,NA,"Oryctolagus cuniculus","Rabbit","1","alive","SX8708258308","human","suburban","garden","all team",NA,"sdc","sdev","feb"
"67","14/04/2017","19:05",NA,"Oryctolagus cuniculus","Rabbit","7","Alive","TR 14177 59385","Open land","Unimproved","Near road, high disturbance","DT, TL","60m","gua","kent","apr"
"68","14/04/2017",NA,NA,"Oryctolagus cuniculus","Rabbit","4","Alive","TR 13848 59416","Open land","Unimproved","Near road, high disturbance","DT, TL","40m","gua","kent","apr"
"69","18-Apr","04:30","Sunny","Oryctolagus cuniculus","Rabbit","4","Alive","NJ 93819 09050","Human area","Urban","Gardens","Kevin",NA,"fff","aber","apr"
"70","14/04/2017",NA,NA,"Oryctolagus cuniculus","Rabbit","3","Alive","TR 13848 59416","Open land","Unimproved","Near road, high disturbance","DT, TL","40m","gua","kent","apr"
"71","28/01/2017","12:15","Rain","Oryctolagus cuniculus","Rabbit",NA,NA,"NS 37494 96204","Woodland ","Coniferous ","Moderate Shrub Layer ","EP","Field Sign","gun","glas","jan"
"72","14/04/2017","19:43",NA,"Oryctolagus cuniculus","Rabbit","38","Alive","TR 13848 59416","Open land","Unimproved","Near road, high disturbance","DT, TL","30m","gua","kent","apr"
"73","15-Apr","06:10","Cold, dry","Oryctolagus cuniculus","Rabbit","4","Alive","NJ 93886 08801","Human area","Urban","Residential","Kevin",NA,"fff","aber","apr"
"74","14/04/2017",NA,NA,"Oryctolagus cuniculus","Rabbit","6","Alive","TR 14215 59407","Open land","Unimproved","Near road, high disturbance","DT, TL","60m","gua","kent","apr"
"75","14/04/2017",NA,NA,"Oryctolagus cuniculus","Rabbit","7","Alive","TR 14171 59349","Open land","Unimproved","Near road, high disturbance","DT, TL","30m","gua","kent","apr"
"76","05/02/2017","13:04","Patchy clouds","Sciurus vulgaris","Red squirrel","1","Alive","57.176028, -20.98577","Woodland","Mixed","Sparse/No shrub layer","Rebecca ",NA,"att","aber","feb"
"77","20-Feb","07:40","Sunny","Sciurus vulgaris","Red squirrel","1","Alive","NJ 93724 08716","Human site","Urban","Gardens","Rea and Rebecca","See picture 9","fff","aber","feb"
"78","07/02/2017","13:34","heavy rain","Capreolus capreolus","Roe deer","5","Alive","57.176522, -2.100385","Woodland","Mixed","Sparse/No shrub layer","Cristin",NA,"att","aber","feb"
"79","18-Apr","04:57","Sunny","Capreolus capreolus","Roe deer","3","Alive","NJ 93819 09050","Human area","Urban","Gardens","Kevin",NA,"fff","aber","apr"
"80","11/04/2017","12:32","overcast","Capreolus capreolus","Roe deer","1","Alive","57.174469, -2.100418","Woodland","Mixed","moderate shrub layer","Rebecca ",NA,"att","aber","apr"
"81","11/04/2017","13:11","overcast","Capreolus capreolus","Roe deer","2","Alive","57.176086, -2.099788","Woodland","Mixed","moderate shrub layer","Rebecca ","doe","att","aber","apr"
"82","28/04/2017","11:30","cloudy","Capreolus capreolus","Roe deer","2","Alive","57.176024, -2.098336","Woodland","Mixed","moderate shrub layer","Rebecca ",NA,"att","aber","apr"
"83","06/04/2017","10:01","sunny","Capreolus capreolus","Roe deer","2","Alive","57.176202, -2.099110","Woodland","Mixed","moderate shrub layer","Jen",NA,"att","aber","apr"
"84","28/02/2017","14:20","Sunny","Capreolus capreolus","Roe deer",NA,NA,"NS 37898 96300","Woodland ","Coniferous ","Sparse Shrub Layer ","RT","Field Sign","gun","glas","feb"
"85","05/02/2017","13:10","Patchy clouds","Capreolus capreolus","Roe deer","3","Alive","57.175996, -2.098489","Woodland","Mixed","Sparse/No shrub layer","Rebecca ","adult female, young doe and young buck","att","aber","feb"
"86","25/03/2017","13:01","sunny","Capreolus capreolus","Roe deer","5","Alive","57.175476, -2.100009","Woodland","Mixed","Sparse/No shrub layer","Rebecca ","adult buck, two adult does, young doe and young buck","att","aber","mar"
"87","28/04/2017","11:57","cloudy","Capreolus capreolus","Roe deer","1","Alive","57.174849, -2.099787","Human site","Suburban (halls of residence)","residential ","Rebecca ","buck","att","aber","apr"
"88","27/02/2017","13:45","sunny","Capreolus capreolus","Roe deer","1","Alive","57.176042, -2.099331","Woodland","Mixed","Sparse/No shrub layer","Rebecca ",NA,"att","aber","feb"
"89","30/01/2017","15:10","Overcast","Capreolus capreolus","Roe deer",NA,NA,"NS 37911 96259","Woodland ","Coniferous ","Plantation ","RT","Field Sign","gun","glas","jan"
"90","28/01/2017","13:00","Rain","Capreolus capreolus","Roe deer",NA,NA,"NS 37589 96189","Woodland ","Coniferous ","Moderate Shrub Layer ","MT","Field Sign","gun","glas","jan"
"91","28/01/2017","15:20","Rain","Capreolus capreolus","Roe deer",NA,NA,"NS 37829 96354","Human Site ","Rural","Near Road ",NA,NA,"gun","glas","jan"
"92","31/03/2017","12:46","mild","Capreolus capreolus","Roe deer","3","Alive","57.175466, -2.098836","Woodland","Mixed","Sparse/No shrub layer","cristin",NA,"att","aber","mar"
"93","28/01/2017","12:05","Rain","Capreolus capreolus","Roe deer",NA,NA,"NS 37415 96279","Woodland ","Mixed ","Moderate Shrub Layer ","KA","Field Sign","gun","glas","jan"
"94","28/02/2017","14:45","Sunny","Capreolus capreolus","Roe deer",NA,NA,"NS 38040 96223","Woodland ","Coniferous ","Sparse Shrub Layer ","RT","Field Sign","gun","glas","feb"
"95","30/01/2017","15:40","Overcast ","Capreolus capreolus","Roe deer",NA,NA,"NS 37811 96283","Woodland ","Broadleaved ","Dense Shrub Layer ","RT","Field Sign","gun","glas","jan"
"96","05/02/2017","13:21","Patchy clouds","Capreolus capreolus","Roe deer","2","Alive","57.174711, -2.099846","Human site","Suburban (halls of residence)","residential ","Rebecca ","adult buck and doe","att","aber","feb"
"97","28/02/2017","15:20","Sunny","Capreolus capreolus","Roe deer",NA,NA,"NS 38090 95917","Woodland ","Coniferous ","Sparse Shrub Layer ","RT","Field Sign","gun","glas","feb"
"98","25/03/2017","12:18","sunny","Capreolus capreolus","Roe deer","1","Alive","57.177181, -2.102683","Human site","Suburban (halls of residence)","residential ","Rebecca ","buck","att","aber","mar"
"99","25/03/2017","11:56","sunny","Capreolus capreolus","Roe deer","1","Alive","57.177240, -2.105079","Woodland","Mixed","Sparse/No shrub layer","Rebecca ","doe","att","aber","mar"
"100","20-Feb","07:35","Sunny","Capreolus capreolus","Roe deer","1","Alive","NJ 93645 08714","Human site","Urban","Gardens","Rea and Rebecca",NA,"fff","aber","feb"
"101","28-Mar","06:40","Cold, rainy","Phoca vitulina","Harbour seal","1","Alive","NJ 93661 08951","Urban","Human area","Gardens","Carla, Rebecca",NA,"fff","aber","mar"
"102","08/02/2017","08:30","Sunny","Sciurus sp.","Squirrel (sp)","1","Alive","SU422153","Woodland","Mixed","Sparse shrub layer, Near road (50m)",NA,NA,"smw","sout","feb"
