"","Date","Survey.method","ID","Station","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","team","loc","month"
"118","03/01/2017","Live Trapping","TL2","12","SU 98901 50342","Waterbody","Lake","Near railway, hedgerow with trees","tsu","surr","apr"
"119","03/01/2017","Live Trapping","TL2","13","SU 98896 50353","Waterbody","Lake","Near railway, hedgerow with trees","tsu","surr","apr"
"120","03/01/2017","Live Trapping","TL2","14","SU 98893 50360","Waterbody","Lake","Near railway, hedgerow with trees","tsu","surr","apr"
"121","03/01/2017","Live Trapping","TL2","15","SU 98889 50368","Waterbody","Lake","Near railway, hedgerow with trees","tsu","surr","apr"
"122","03/01/2017","Live Trapping","TL2","16","SU 98885 50377","Waterbody","Lake","Near railway, hedgerow with trees","tsu","surr","apr"
"123","03/01/2017","Live Trapping","TL2","17","SU 98882 50383","Waterbody","Lake","Near railway, hedgerow with trees","tsu","surr","apr"
"108","03/01/2017","Live Trapping","TL2","2","SU 98944 50249","Human site","Suburban","Near road, near railway, residential","tsu","surr","apr"
"109","03/01/2017","Live Trapping","TL2","3","SU 98940 50258","Human site","Suburban","Near road, near railway, residential","tsu","surr","apr"
"110","03/01/2017","Live Trapping","TL2","4","SU 98935 50268","Human site","Suburban","Near road, near railway, residential","tsu","surr","apr"
"111","03/01/2017","Live Trapping","TL2","5","SU 98931 50277","Human site","Suburban","Near road, near railway, residential","tsu","surr","apr"
"112","03/01/2017","Live Trapping","TL2","6","SU 98926 50288","Waterbody","Lake","Near railway, hedgerow with trees","tsu","surr","apr"
"113","03/01/2017","Live Trapping","TL2","7","SU 98922 50296","Waterbody","Lake","Near railway, hedgerow with trees","tsu","surr","apr"
"114","03/01/2017","Live Trapping","TL2","8","SU 98919 50303","Waterbody","Lake","Near railway, hedgerow with trees","tsu","surr","apr"
"115","03/01/2017","Live Trapping","TL2","9","SU 98916 50310","Waterbody","Lake","Near railway, hedgerow with trees","tsu","surr","apr"
"124","03/01/2017","Live Trapping","TL3","1","SU 98361 50113","Human site","Suburban","Residential, hedgerow with trees, recreational ground","tsu","surr","apr"
"133","03/01/2017","Live Trapping","TL3","10","SU 98450 50108","Human site","Suburban","Residential, hedgerow with trees, recreational ground","tsu","surr","apr"
"134","03/01/2017","Live Trapping","TL3","11","SU 98461 50108","Human site","Suburban","Residential, hedgerow with trees, recreational ground","tsu","surr","apr"
"135","03/01/2017","Live Trapping","TL3","12","SU 98470 50108","Human site","Suburban","Residential, hedgerow with trees, recreational ground","tsu","surr","apr"
"136","03/01/2017","Live Trapping","TL3","13","SU 98481 50107","Human site","Suburban","Residential, hedgerow with trees, recreational ground","tsu","surr","apr"
"137","03/01/2017","Live Trapping","TL3","14","SU 98491 50107","Human site","Suburban","Residential, hedgerow with trees, recreational ground","tsu","surr","apr"
"138","03/01/2017","Live Trapping","TL3","15","SU 98502 50106","Human site","Suburban","Residential, hedgerow with trees, recreational ground","tsu","surr","apr"
"139","03/01/2017","Live Trapping","TL3","16","SU 98512 50106","Human site","Suburban","Residential, hedgerow with trees, recreational ground","tsu","surr","apr"
"140","03/01/2017","Live Trapping","TL3","17","SU 98522 50106","Human site","Suburban","Residential, hedgerow with trees, recreational ground","tsu","surr","apr"
"125","03/01/2017","Live Trapping","TL3","2","SU 98370 50113","Human site","Suburban","Residential, hedgerow with trees, recreational ground","tsu","surr","apr"
"126","03/01/2017","Live Trapping","TL3","3","SU 98379 50112","Human site","Suburban","Residential, hedgerow with trees, recreational ground","tsu","surr","apr"
"127","03/01/2017","Live Trapping","TL3","4","SU 98389 50111","Human site","Suburban","Residential, hedgerow with trees, recreational ground","tsu","surr","apr"
"128","03/01/2017","Live Trapping","TL3","5","SU 98399 50112","Human site","Suburban","Residential, hedgerow with trees, recreational ground","tsu","surr","apr"
"129","03/01/2017","Live Trapping","TL3","6","SU 98409 50111","Human site","Suburban","Residential, hedgerow with trees, recreational ground","tsu","surr","apr"
"130","03/01/2017","Live Trapping","TL3","7","SU 98419 50110","Human site","Suburban","Residential, hedgerow with trees, recreational ground","tsu","surr","apr"
"131","03/01/2017","Live Trapping","TL3","8","SU 98429 50109","Human site","Suburban","Residential, hedgerow with trees, recreational ground","tsu","surr","apr"
"132","03/01/2017","Live Trapping","TL3","9","SU 98439 50109","Human site","Suburban","Residential, hedgerow with trees, recreational ground","tsu","surr","apr"
"143","21/02/2017","Line transect","T1",NA,"57.17234, -2.10361","Woodland","Mixed","Moderate shrub layer","att","aber","feb"
"144","21/02/2017","Line transect","T2",NA,"57.17574, -2.10622 ","Woodland","Mixed","Moderate shrub layer","att","aber","feb"
"145","21/02/2017","Line transect","T3",NA,"57.1771480, -2.1058898","Woodland","Mixed","Moderate shrub layer","att","aber","feb"
"146","21/02/2017","Line transect","T4",NA,"57.17728, -2.10233","Woodland","Mixed","Moderate shrub layer","att","aber","feb"
"147","21/02/2017","Line transect","T5",NA,"57.17733, -2.09969","Waterbodies","River","High/medium banks","att","aber","feb"
"148","23/02/2017","Standard walk","SW3",NA,"57.172535, -2.103433","Waterbodies","River","Fast running","att","aber","feb"
"731","24/02/2017","Camera trap","Camera 1","1","51.91832615, -2.30573896","Woodland","Broadleaved","Sparse shrub layer, Sparse field layer","wwa","hart","mar"
"149","24/02/2017","Standard walk","SW4",NA,"57.172535, -2.103434","Waterbodies","River","Fast running","att","aber","feb"
"150","27/02/2017","Standard walk","SW5",NA,"57.172535, -2.103435","Waterbodies","River","Fast running","att","aber","feb"
"176","22/02/2017","Line transect","T2","1","51.508973, -3.187618","Woodland","Broadleaved","Moderate shrub layer, semi-natural, near road ","cwi","card","feb"
"260","22/02/2017","Opportunistic","O6","6","SS 62877 92187","Woodland","Broadleaved","Dense shrub layer, moderate field layer","suc","swan","feb"
"186","15/02/2017","Camera Trap","1","1","TQ 62584 49632","Human Site","Rural","Gardens","hba","hadl","feb"
"187","15/02/2017","Camera Trap","2","1","TQ 62692 49559","Woodland","Broadleaved","Sparse/no shrub layer, near a ditch","hba","hadl","feb"
"188","15/02/2017","Camera Trap","3","1","TQ 62681 49563","Waterbodies","Stream","Banks vegetated, High/medium banks, slow running, disturbed","hba","hadl","feb"
"189","15/02/2017","Camera Trap","4","1","TQ 62970 49773","Human Site","Suburban","Gardens","hba","hadl","feb"
