"","Date","Species","latin","Time","Weather","Count","Alive.Dead","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Method","Any.other.comments","team","loc","month"
"100","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:00",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"101","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:57",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"102","02/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:37",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"103","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:49",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"104","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:50",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"105","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:19",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"106","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:09",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"107","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:44",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"108","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:44",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"109","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:42",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"110","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:42",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"111","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:42",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"112","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:01",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"113","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:01",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"114","07/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:24",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"115","07/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:24",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"116","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:22",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"117","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:45",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"118","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:23",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"119","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:28",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"120","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:20",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
